Executing C:\Documents and Settings\Administrator\My Documents\ZEMAX\MACROS\sedm_simulate_ray.zpl.
75.0000 0.1425 -0.1593 0.3700 0.0000 0.0000
75.0000 0.1425 -0.1593 0.6450 0.0000 0.0000
75.0000 0.1425 -0.1593 0.9200 0.0000 0.0000
76.0000 0.1465 -0.1593 0.3700 0.0000 0.0000
76.0000 0.1465 -0.1593 0.6450 0.0000 0.0000
76.0000 0.1465 -0.1593 0.9200 0.0000 0.0000
77.0000 0.1506 -0.1593 0.3700 0.0000 0.0000
77.0000 0.1506 -0.1593 0.6450 0.0000 0.0000
77.0000 0.1506 -0.1593 0.9200 0.0000 0.0000
78.0000 0.1547 -0.1593 0.3700 0.0000 0.0000
78.0000 0.1547 -0.1593 0.6450 0.0000 0.0000
78.0000 0.1547 -0.1593 0.9200 0.0000 0.0000
79.0000 0.1587 -0.1593 0.3700 0.0000 0.0000
79.0000 0.1587 -0.1593 0.6450 0.0000 0.0000
79.0000 0.1587 -0.1593 0.9200 0.0000 0.0000
80.0000 0.1628 -0.1593 0.3700 0.0000 0.0000
80.0000 0.1628 -0.1593 0.6450 0.0000 0.0000
80.0000 0.1628 -0.1593 0.9200 0.0000 0.0000
81.0000 -0.1567 -0.1558 0.3700 0.0000 0.0000
81.0000 -0.1567 -0.1558 0.6450 0.0000 0.0000
81.0000 -0.1567 -0.1558 0.9200 0.0000 0.0000
82.0000 -0.1526 -0.1558 0.3700 0.0000 0.0000
82.0000 -0.1526 -0.1558 0.6450 0.0000 0.0000
82.0000 -0.1526 -0.1558 0.9200 0.0000 0.0000
83.0000 -0.1486 -0.1558 0.3700 0.0000 0.0000
83.0000 -0.1486 -0.1558 0.6450 0.0000 0.0000
83.0000 -0.1486 -0.1558 0.9200 0.0000 0.0000
84.0000 -0.1445 -0.1558 0.3700 0.0000 0.0000
84.0000 -0.1445 -0.1558 0.6450 0.0000 0.0000
84.0000 -0.1445 -0.1558 0.9200 0.0000 0.0000
85.0000 -0.1404 -0.1558 0.3700 0.0000 0.0000
85.0000 -0.1404 -0.1558 0.6450 0.0000 0.0000
85.0000 -0.1404 -0.1558 0.9200 0.0000 0.0000
86.0000 -0.1364 -0.1558 0.3700 0.0000 0.0000
86.0000 -0.1364 -0.1558 0.6450 0.0000 0.0000
86.0000 -0.1364 -0.1558 0.9200 0.0000 0.0000
87.0000 -0.1323 -0.1558 0.3700 0.0000 0.0000
87.0000 -0.1323 -0.1558 0.6450 0.0000 0.0000
87.0000 -0.1323 -0.1558 0.9200 0.0000 0.0000
88.0000 -0.1282 -0.1558 0.3700 0.0000 0.0000
88.0000 -0.1282 -0.1558 0.6450 0.0000 0.0000
88.0000 -0.1282 -0.1558 0.9200 0.0000 0.0000
89.0000 -0.1241 -0.1558 0.3700 0.0000 0.0000
89.0000 -0.1241 -0.1558 0.6450 0.0000 0.0000
89.0000 -0.1241 -0.1558 0.9200 0.0000 0.0000
90.0000 -0.1201 -0.1558 0.3700 0.0000 0.0000
90.0000 -0.1201 -0.1558 0.6450 0.0000 0.0000
90.0000 -0.1201 -0.1558 0.9200 0.0000 0.0000
91.0000 -0.1160 -0.1558 0.3700 0.0000 0.0000
91.0000 -0.1160 -0.1558 0.6450 0.0000 0.0000
91.0000 -0.1160 -0.1558 0.9200 0.0000 0.0000
92.0000 -0.1119 -0.1558 0.3700 0.0000 0.0000
92.0000 -0.1119 -0.1558 0.6450 0.0000 0.0000
